4047648	Candida Glabrata_F			Reassign for lh purposes 02/28/14 kt
4047649	Candida Glabrata_F			Reassign for lh purposes 02/28/14 kt
4047650	Candida Glabrata_F			Reassign for lh purposes 02/28/14 kt
4047651	Candida Glabrata_F			Reassign for lh purposes 02/28/14 kt
4047652	Candida Glabrata_F			Reassign for lh purposes 02/28/14 kt
4047653	Candida Glabrata_F			Reassign for lh purposes 02/28/14 kt
4047654	Candida Glabrata_F			Reassign for lh purposes 02/28/14 kt
4047655	Candida Glabrata _R			Reassign for lh purposes 02/28/14 kt
4047656	Candida Glabrata _R			Reassign for lh purposes 02/28/14 kt
4047657	Candida Glabrata _R			Reassign for lh purposes 02/28/14 kt
4047658	Candida Glabrata _R			Reassign for lh purposes 02/28/14 kt
4047659	Candida Glabrata _R			Reassign for lh purposes 02/28/14 kt
4047660	Candida Glabrata _R			Reassign for lh purposes 02/28/14 kt
4047661	Candida Glabrata _R			Reassign for lh purposes 02/28/14 kt
4047662	Candida Glabrata _R			Reassign for lh purposes 02/28/14 kt
4047663	Candida Albicans_F			Reassign for lh purposes 02/28/14 kt
4047664	Candida Albicans_F			Reassign for lh purposes 02/28/14 kt
4047665	Candida Albicans_F			Reassign for lh purposes 02/28/14 kt
4047666	Candida Albicans_F			Reassign for lh purposes 02/28/14 kt
4047667	Candida Albicans_F			Reassign for lh purposes 02/28/14 kt
4047668	Candida Albicans_F			Reassign for lh purposes 02/28/14 kt
4047669	Candida Albicans_F			Reassign for lh purposes 02/28/14 kt
4047670	Candida Albicans_F			Reassign for lh purposes 02/28/14 kt
4047671	Candida Albicans _R			Reassign for lh purposes 02/28/14 kt
4047672	Candida Albicans _R			Reassign for lh purposes 02/28/14 kt
4047673	Candida Albicans _R			Reassign for lh purposes 02/28/14 kt
4047674	Candida Albicans _R			Reassign for lh purposes 02/28/14 kt
4047675	Candida Albicans _R			Reassign for lh purposes 02/28/14 kt
4047676	Candida Albicans _R			Reassign for lh purposes 02/28/14 kt
4047677	Candida Albicans _R			Reassign for lh purposes 02/28/14 kt
4047678	Candida Albicans _R			Reassign for lh purposes 02/28/14 kt
4047679	Candida Tropicalis_F			Reassign for lh purposes 02/28/14 kt
4047680	Candida Tropicalis_F			Reassign for lh purposes 02/28/14 kt
4047681	Candida Tropicalis_F			Reassign for lh purposes 02/28/14 kt
4047682	Candida Tropicalis_F			Reassign for lh purposes 02/28/14 kt
4047683	Candida Tropicalis_F			Reassign for lh purposes 02/28/14 kt
4047684	Candida Tropicalis_F			Reassign for lh purposes 02/28/14 kt
4047685	Candida Tropicalis_F			Reassign for lh purposes 02/28/14 kt
4047686	Candida Tropicalis_F			Reassign for lh purposes 02/28/14 kt
4047687	Candida Tropicalis _R			Reassign for lh purposes 02/28/14 kt
4047688	Candida Tropicalis _R			Reassign for lh purposes 02/28/14 kt
4047689	Candida Tropicalis _R			Reassign for lh purposes 02/28/14 kt
4047690	Candida Tropicalis _R			Reassign for lh purposes 02/28/14 kt
4047691	Candida Tropicalis _R			Reassign for lh purposes 02/28/14 kt
4047692	Candida Tropicalis _R			Reassign for lh purposes 02/28/14 kt
4047693	Candida Tropicalis _R			Reassign for lh purposes 02/28/14 kt
4047694	Candida Tropicalis _R			Reassign for lh purposes 02/28/14 kt
4047710	Candida Parapsilosis_F			Reassign for lh purposes 02/28/14 kt
4047711	Candida Parapsilosis_F			Reassign for lh purposes 02/28/14 kt
4047712	Candida Parapsilosis_F			Reassign for lh purposes 02/28/14 kt
4047713	Candida Parapsilosis_F			Reassign for lh purposes 02/28/14 kt
4047714	Candida Parapsilosis_F			Reassign for lh purposes 02/28/14 kt
4047715	Candida Parapsilosis_F			Reassign for lh purposes 02/28/14 kt
4047716	Candida Parapsilosis_F			Reassign for lh purposes 02/28/14 kt
4047717	Candida Parapsilosis_F			Reassign for lh purposes 02/28/14 kt
4047718	Candida Parapsilosis _R			Reassign for lh purposes 02/28/14 kt
4047719	Candida Parapsilosis _R			Reassign for lh purposes 02/28/14 kt
4047720	Candida Parapsilosis _R			Reassign for lh purposes 02/28/14 kt
4047721	Candida Parapsilosis _R			Reassign for lh purposes 02/28/14 kt
4047722	Candida Parapsilosis _R			Reassign for lh purposes 02/28/14 kt
4047723	Candida Parapsilosis _R			Reassign for lh purposes 02/28/14 kt
4047724	Candida Parapsilosis _R			Reassign for lh purposes 02/28/14 kt
4047725	Candida Parapsilosis _R			Reassign for lh purposes 02/28/14 kt
4047756	MMV Primer 1			
4047757	MMV Primer 1			
4047758	MMV Primer 1			
4047759	MMV Primer 2			
4047760	MMV Primer 2			
4047761	MMV Primer 2			
4044734	P6 TAMRA Probe	5-TAMRA	BHQ-2	+146
4047766	SGAG21			ms not okLow Yield at Ods 02/28/14 mrr
4047767	SGAG22			ms not okLow Yield at Ods 02/28/14 mrr
4047768	pSGAG23	FAM	BHQ-1	
4043362	Anchor Strand	Thiol C6 SS	Methylene Blue	purity
4043628	SuHV_5P	Amino C6		purity
4039962	HPIV-1Probe	FAM	idC	MS ok: JJLow Yield at Ods 02/28/14 mrr
4045644	MS2;2986U20			purity
4048439	PCR1-BHQ2-TP-NA	BHQ-2		
4048440	PCR2-BHQ2-TP-NA	BHQ-2		
4045911	Lucigen 2 IT_BC_2_Lower			
4048585	3004383	FAM		
4048587	SE Mod TOCE	BHQ-1	Spacer C3	
4048586	ST Mod TOCE	BHQ-2	Spacer C3	
4048369	BSruvBCon1LFDig	T(DIG)	Spacer C3	low yield at ODs
4048368	INVAProbe1LFBio	Biotin	ddC	ms not okLow Yield at Ods 02/28/14 mrr
4048367	BsruvBcon1SIMA		Spacer C3	+706
4048334	r5QRI-1_31F-any			
4048335	r5QRI-1_31R-any			
4048336	r1QRI-1_1_31dpF-13	FAM	BHQ-1	
4048329	RSV A Probe	CAL Fluor Orange 560	BHQ-1	ms oklow yield at ODs 03/03/14 AG
4048557	P Mpneumo 2 ROX	T(ROX)	BHQ-2	
4045105	SSM_017_SH-1c	Thiol C6 SS		ms not okLow Yield at Ods 02/28/14 mrr
4045106	SSM_018_SH-1d	Thiol C6 SS		ms not okLow Yield at Ods 02/28/14 mrr
4045940	QRI11102413dpFintFAM		BHQ-1	
4040481	FAM_Chol_BHQ1	BHQ-1	Cholesterol	
4039964	HPIV-3Probe	CAL Fluor Red 610	BHQ-2	MS ok: TSlow yield at ODs 03/03/14 AG
4048626	SB715F1			
4048630	SB716F1			
4048634	SB722F1			
4048638	SB735F1			
4048642	SB740F1			
4048646	SB833F1			
4048650	SB895F1			
4048654	SB901F1			
4048658	SB907R1			
4048662	SB916R1			
4048666	SB917R1			
4048670	SB962R1			
4048674	SB966R1			
4048678	SR499F1			
4048682	SR544R1			
4048686	SR572F1			
4048690	SR609R1			
4048694	SR617R1			
4048698	SR774F1			
4048702	SR798R1			
4048706	SR827F1			
4048710	SR873R1			
4048714	SR908R1			
4048718	SR924F1			
4048722	SR944R1			
4048624	SB715A1FM	FAM	BHQ-1	
4048628	SB716A1FM	FAM	BHQ-1	
4048632	SB722A1FM	FAM	BHQ-1	
4048636	SB735A1FM	FAM	BHQ-1	
4048640	SB740A1FM	FAM	BHQ-1	
4048644	SB833A1FM	FAM	BHQ-1	
4048648	SB895A1FM	FAM	BHQ-1	
4048652	SB901A1FM	FAM	BHQ-1	
4048656	SB907A1FM	FAM	BHQ-1	
4048660	SB916A1FM	FAM	BHQ-1	
4048664	SB917A1FM	FAM	BHQ-1	
4048668	SB962A1FM	FAM	BHQ-1	
4048672	SB966A1FM	FAM	BHQ-1	
4048676	SR499A1FM	FAM	BHQ-1	
4048680	SR544A1FM	FAM	BHQ-1	
4048684	SR572A1FM	FAM	BHQ-1	
4048688	SR609A1FM	FAM	BHQ-1	
4048692	SR617A1FM	FAM	BHQ-1	
4048696	SR774A1FM	FAM	BHQ-1	
4048700	SR798A1FM	FAM	BHQ-1	
4048704	SR827A1FM	FAM	BHQ-1	
4048708	SR873A1FM	FAM	BHQ-1	
4048712	SR908A1FM	FAM	BHQ-1	
4048716	SR924A1FM	FAM	BHQ-1	
4048720	SR944A1FM	FAM	BHQ-1	
4048625	SB715A2TT	TET	BHQ-1	
4048629	SB716A2TT	TET	BHQ-1	
4048633	SB722A2TT	TET	BHQ-1	
4048637	SB735A2TT	TET	BHQ-1	ms okLow yield at ODs 3/4/14 dl. 
4048641	SB740A2TT	TET	BHQ-1	
4048645	SB833A2TT	TET	BHQ-1	
4048649	SB895A2TT	TET	BHQ-1	
4048653	SB901A2TT	TET	BHQ-1	
4048657	SB907A2TT	TET	BHQ-1	
4048661	SB916A2TT	TET	BHQ-1	
4048665	SB917A2TT	TET	BHQ-1	
4048669	SB962A2TT	TET	BHQ-1	
4048673	SB966A2TT	TET	BHQ-1	
4048677	SR499A2TT	TET	BHQ-1	
4048681	SR544A2TT	TET	BHQ-1	
4048685	SR572A2TT	TET	BHQ-1	
4048689	SR609A2TT	TET	BHQ-1	
4048693	SR617A2TT	TET	BHQ-1	
4048697	SR774A2TT	TET	BHQ-1	
4048701	SR798A2TT	TET	BHQ-1	
4048705	SR827A2TT	TET	BHQ-1	
4048709	SR873A2TT	TET	BHQ-1	
4048713	SR908A2TT	TET	BHQ-1	
4048717	SR924A2TT	TET	BHQ-1	
4048721	SR944A2TT	TET	BHQ-1	
4048627	SB715R1			
4048631	SB716R1			
4048635	SB722R1			
4048639	SB735R1			
4048643	SB740R1			
4048647	SB833R1			
4048651	SB895R1			
4048655	SB901R1			
4048659	SB907F1			
4048663	SB916F1			
4048667	SB917F1			
4048671	SB962F1			
4048675	SB966F1			
4048679	SR499R1			
4048683	SR544F1			
4048687	SR572R1			
4048691	SR609F1			
4048695	SR617F1			
4048699	SR774R1			
4048703	SR798F1			
4048707	SR827R1			
4048711	SR873F1			
4048715	SR908F1			
4048719	SR924R1			
4048723	SR944F1			
4043623	PCV2_3P*	Amino C6		purity
4043112	CTS98-125-SP9-NH2-3'		Amino C7	
4043568	SuHV_1F	Biotin		DMT left on
4043621	PCV2_1P*	Amino C6		purity
4048726	IKBKAP-FD maijor_P1	FAM	BHQ-1	
4048729	Usher_P1	FAM	BHQ-1	
4048734	MLD_P1	FAM	BHQ-1	
4048738	PCCA_1001_P1	FAM	BHQ-1	
4048741	PCCA_715_P1	FAM	BHQ-1	
4048745	TMC1_P1	FAM	BHQ-1	
4048750	FancA 2172-2173insG_P1	FAM	BHQ-1	
4048753	CFTR F508del_P1	FAM	BHQ-1	
4048758	IKBKAP-FD maijor-2_P1	FAM	BHQ-1	
4048762	PCCA_1001_P1	FAM	BHQ-1	
4048765	PCCA_715_P1	FAM	BHQ-1	
4048769	GSD-new_P1	FAM	BHQ-1	
4048773	rs45617144_P1	FAM	BHQ-1	
4048777	rs34420676_P1	FAM	BHQ-1	
4048781	Mitochondr Complex III_P1	FAM	BHQ-1	
4048785	Bardet-Biedl 3 (BBS3)_P1	FAM	BHQ-1	
4048789	JBTS2 Redesign-2_P1	FAM	BHQ-1	
4049226	MOR MS2_1		Quasar 670	
4049227	MOR MS2_2		Quasar 670	
4049228	MOR MS2_3		Quasar 670	
4049229	MOR MS2_4		Quasar 670	
4049230	MOR MS2_5		Quasar 670	
4049231	MOR MS2_6		Quasar 670	
4049232	MOR MS2_7		Quasar 670	
4049233	MOR MS2_8		Quasar 670	
4049234	MOR MS2_9		Quasar 670	
4049235	MOR MS2_10		Quasar 670	
4049236	MOR MS2_11		Quasar 670	
4049237	MOR MS2_12		Quasar 670	
4049238	MOR MS2_13		Quasar 670	
4049239	MOR MS2_14		Quasar 670	
4049240	MOR MS2_15		Quasar 670	
4049241	MOR MS2_16		Quasar 670	
4049242	MOR MS2_17		Quasar 670	
4049243	MOR MS2_18		Quasar 670	
4049244	MOR MS2_19		Quasar 670	
4049245	MOR MS2_20		Quasar 670	
4049246	MOR MS2_21		Quasar 670	
4049247	MOR MS2_22		Quasar 670	
4049248	MOR MS2_23		Quasar 670	
4049249	MOR MS2_24		Quasar 670	
4049250	MOR MS2_25		Quasar 670	
4049251	MOR MS2_26		Quasar 670	
4049252	MOR MS2_27		Quasar 670	
4049253	MOR MS2_28		Quasar 670	
4049254	MOR MS2_29		Quasar 670	
4049255	MOR MS2_30		Quasar 670	
4049256	MOR MS2_31		Quasar 670	
4049257	MOR MS2_32		Quasar 670	
4049258	MOR MS2_33		Quasar 670	
4049259	MOR MS2_34		Quasar 670	
4049260	MOR MS2_35		Quasar 670	
4049261	MOR MS2_36		Quasar 670	
4049262	MOR MS2_37		Quasar 670	
4049263	MOR MS2_38		Quasar 670	
4049264	MOR MS2_39		Quasar 670	
4049265	MOR MS2_40		Quasar 670	
4049266	MOR MS2_41		Quasar 670	
4049267	MOR MS2_42		Quasar 670	
4049268	MOR MS2_43		Quasar 670	
4049269	MOR MS2_44		Quasar 670	
4049270	MOR MS2_45		Quasar 670	
4049271	MOR MS2_46		Quasar 670	
4049272	MOR MS2_47		Quasar 670	
4049273	MOR MS2_48		Quasar 670	
4048087	GX2			
4048086	GX1			
4048988	FD-RCH X2P	CAL Fluor Orange 560	BHQ-1	
4048991	FD-RCH EP	CAL Fluor Red 610	BHQ-2	
4049187	BGX vanbP481_CFR	CAL Fluor Red 610	BHQ-2	
4049173	P40	Quasar 670	BHQ-2	
4049174	P43	Quasar 670	BHQ-2	
4049175	P44	Quasar 670	BHQ-2	
4049176	P25Q670	Quasar 670	BHQ-2	ms okLow Yield at Ods 02/28/14 mrr
4049177	PCON1.Q670	Quasar 670	BHQ-2	
4049191	cyrP_CFO	CAL Fluor Orange 560	BHQ-1	
4049192	sxtP CFR	CAL Fluor Red 610	BHQ-2	
4049188	mcyP_Q670	Quasar 670	BHQ-2	wobble
4049189	mcyP_Q670	Quasar 670	BHQ-2	wobble
4049190	mcyP_Q670	Quasar 670	BHQ-2	wobble
4049224	Ado926 ABL-probe	Quasar 670	BHQ-2	
4049306	mAngpt1_F			
4049307	mAngpt1_R			
4049309	hAngpt1_F			
4049310	hAngpt1_R			
4049344	Neuritin-1_1		C3-Fluorescein	
4049345	Neuritin-1_2		C3-Fluorescein	
4049346	Neuritin-1_3		C3-Fluorescein	
4049347	Neuritin-1_4		C3-Fluorescein	
4049348	Neuritin-1_5		C3-Fluorescein	
4049349	Neuritin-1_6		C3-Fluorescein	
4049350	Neuritin-1_7		C3-Fluorescein	
4049351	Neuritin-1_8		C3-Fluorescein	
4049352	Neuritin-1_9		C3-Fluorescein	
4049353	Neuritin-1_10		C3-Fluorescein	
4049354	Neuritin-1_11		C3-Fluorescein	
4049355	Neuritin-1_12		C3-Fluorescein	
4049356	Neuritin-1_13		C3-Fluorescein	
4049357	Neuritin-1_14		C3-Fluorescein	
4049358	Neuritin-1_15		C3-Fluorescein	
4049359	Neuritin-1_16		C3-Fluorescein	
4049360	Neuritin-1_17		C3-Fluorescein	
4049361	Neuritin-1_18		C3-Fluorescein	
4049362	Neuritin-1_19		C3-Fluorescein	
4049363	Neuritin-1_20		C3-Fluorescein	
4049364	Neuritin-1_21		C3-Fluorescein	
4049365	Neuritin-1_22		C3-Fluorescein	
4049366	Neuritin-1_23		C3-Fluorescein	
4049367	Neuritin-1_24		C3-Fluorescein	
4049368	Neuritin-1_25		C3-Fluorescein	
4049369	Neuritin-1_26		C3-Fluorescein	
4049370	Neuritin-1_27		C3-Fluorescein	
4049371	Neuritin-1_28		C3-Fluorescein	
4049372	Neuritin-1_29		C3-Fluorescein	
4049373	Neuritin-1_30		C3-Fluorescein	
4049374	Neuritin-1_31		C3-Fluorescein	
4049375	Neuritin-1_32		C3-Fluorescein	
4049376	Neuritin-1_33		C3-Fluorescein	
4049377	Neuritin-1_34		C3-Fluorescein	
4049378	Neuritin-1_35		C3-Fluorescein	
4049379	Neuritin-1_36		C3-Fluorescein	
4049311	Opalin_1		Quasar 570	DMT on: TS
4049312	Opalin_2		Quasar 570	DMT on: TS
4049313	Opalin_3		Quasar 570	DMT on: TS
4049314	Opalin_4		Quasar 570	DMT on: TS
4049315	Opalin_5		Quasar 570	DMT on: TS
4049316	Opalin_6		Quasar 570	DMT on: TS
4049317	Opalin_7		Quasar 570	DMT on: TS
4049318	Opalin_8		Quasar 570	DMT on: TS
4049319	Opalin_9		Quasar 570	DMT on: TS
4049320	Opalin_10		Quasar 570	DMT on: TS
4049321	Opalin_11		Quasar 570	DMT on: TS
4049322	Opalin_12		Quasar 570	DMT on: TS
4049323	Opalin_13		Quasar 570	DMT on: TS
4049324	Opalin_14		Quasar 570	DMT on: TS
4049325	Opalin_15		Quasar 570	DMT on: TS
4049326	Opalin_16		Quasar 570	DMT on: TS
4049327	Opalin_17		Quasar 570	DMT on: TS
4049328	Opalin_18		Quasar 570	DMT on: TS
4049329	Opalin_19		Quasar 570	DMT on: TS
4049330	Opalin_20		Quasar 570	DMT on: TS
4049331	Opalin_21		Quasar 570	DMT on: TS
4049332	Opalin_22		Quasar 570	DMT on: TS
4049333	Opalin_23		Quasar 570	DMT on: TS
4049334	Opalin_24		Quasar 570	DMT on: TS
4049335	Opalin_25		Quasar 570	DMT on: TS
4049336	Opalin_26		Quasar 570	DMT on: TS
4049337	Opalin_27		Quasar 570	DMT on: TS
4049338	Opalin_28		Quasar 570	DMT on: TS
4049339	Opalin_29		Quasar 570	DMT on: TS
4049340	Opalin_30		Quasar 570	DMT on: TS
4049341	Opalin_31		Quasar 570	DMT on: TS
4049342	Opalin_32		Quasar 570	DMT on: TS
4049343	Opalin_33		Quasar 570	DMT on: TS
4048746	TMC1_P2	CAL Fluor Orange 560	BHQ-1	No Cal Orange coupling on all samples
4048749	FancA 2172-2173insG_P2	CAL Fluor Orange 560	BHQ-1	No Cal Orange coupling on all samples
4048754	CFTR F508del_P2	CAL Fluor Orange 560	BHQ-1	No Cal Orange coupling on all samples
4048757	IKBKAP-FD maijor-2_P2	CAL Fluor Orange 560	BHQ-1	No Cal Orange coupling on all samples
4048761	PCCA_1001_P2	CAL Fluor Orange 560	BHQ-1	No Cal Orange coupling on all samples
4048766	PCCA_715_P2	CAL Fluor Orange 560	BHQ-1	No Cal Orange coupling on all samples
4048770	GSD-new_P2	CAL Fluor Orange 560	BHQ-1	No Cal Orange coupling on all samples
4048782	Mitochondr Complex III_P2	CAL Fluor Orange 560	BHQ-1	No Cal Orange coupling on all samples
4048786	Bardet-Biedl 3 (BBS3)_P2	CAL Fluor Orange 560	BHQ-1	No Cal Orange coupling on all samples
4048790	JBTS2 Redesign-2_P2	CAL Fluor Orange 560	BHQ-1	No Cal Orange coupling on all samples
4048840	GST-P1 f  -27			
4048841	GST-P1 r  -27			
4048842	Alw26 I f  -27			
4048843	Alw26 I r   -27			
4048844	Dde 1 f  -27			
4048845	Dde 1 r   -27			
4048846	GAPDH -28			
4048847	GAPDH -28			
4048848	DNMT1 -28			
4048849	DNMT1 -28			
4048850	DNMT3A -28			
4048851	DNMT3A -28			
4048852	DNMT3B-28			
4048853	DNMT3B-28			
4048854	CYP2C9*2 Fout  -29			
4048855	CYP2C9*2 Rin (*1) -29			
4048856	CYP2C9*2 Fin (*2) -29			
4048857	CYP2C9*2 Rout  -29			
4048858	CYP2C9*3 Fout  -29			
4048859	CYP2C9*3 Rin (*1) -29			
4048860	CYP2C9*3 Rin (*3) -29			
4048861	CYP2C9*3 Rout  -29			
4048862	VKORCI 6484 Fout  -29			
4048863	VKORCI 6484 Rin   -29			
4048864	VKORCI 6484 Fin (A)  -29			
4048865	VKORCI 6484 Rout  -29			
4048866	Forward -30			
4048867	Reverse -30			
4048868	R-3030 Lab			
4048869	CTX-M 15 F -31			
4048870	CTX-M 15 R -31			
4048871	CTX-2-59 F -31			
4048872	CTX-2-59 R -31			
4048873	SHV F -31			
4048874	SHV R -31			
4048875	TEM F -31			
4048876	TEM R -31			
4048877	RAPD1 -31			
4048878	RAPD2 -31			
4048879	Dr. Mona 1 -32			
4048880	Dr. Mona 2 -32			
4048881	Dr. Mona 3 -32			
4048882	Dr. Mona 4 -32			
4048883	Dr. Mona 5 -32			
4048884	Dr. Mona 6 -32			
4048885	Dr. Mona 7 -32			
4048886	Dr. Mona 8 -32			
4048887	Dr. Mona 9 -32			
4048888	Dr. Mona 10 -32			
4048889	Dr. Safa F -33			
4048890	Dr. Safa F -33			
4048891	348aF - 1P			
4048892	e915aR - 1P			
4048893	F - 1P			
4048894	R - 1P			
4048895	F - 1P			
4048896	R - 1P			wobble
4048897	F -2P			
4048898	R -2P			
4048899	F -2P			
4048900	R -2P			
4048901	F -2P			
4048902	R -2P			
4048903	F -2P			
4048904	R -2P			
4048905	F -2P			
4048906	R -2P			
4048907	F -2P			
4048908	R -2P			
4048909	F -2P			
4048910	R -2P			
4048911	1- -3P			
4048912	2- -3P			
4048913	3- -3P			
4048914	4- -3P			
4048915	GNB3 F -5P			
4048916	GNB3 R -5P			
4048917	M-28SD2-F  -6P			
4048918	M-28SD2-R  -6P			
4048919	M-ITS2-F  -6P			
4048920	M-ITS2-R  -6P			
4048921	M-LCOn-F  -6P			wobble
4048922	M-LCOn-R  -6P			
4048923	Specific GIP 1 F  -6P			
4048924	Specific GIP 1 r  -6P			
4048925	SCN5A- 10F  -7P			
4048926	SCN5A- 10R  -7P			
4048927	SCN5A-19F  -7P			
4048928	SCN5A-19R  -7P			
4048929	F  -8P			
4048930	R  -8P			
4048931	Imp-F  -9P			wobble
4048932	Imp-R  -9P			wobble
4048933	Vim-F  -9P			
4048934	Vim-R  -9P			
4048935	IFN-gamma -10P			
4048936	IFN-gamma -10P			
4048937	IL-12 -10P			
4048938	IL-12 -10P			
4048939	IL-10: -10P			
4048940	IL-10: -10P			
4048941	B-actin -10P			
4048942	B-actin -10P			
4048943	F-end  -11P			
4048944	R-start  -11P			
4048945	1F-12P			
4048946	1R-12P			
4048947	2F-12P			
4048948	2R -12P			
4048949	3F -12P			
4048950	3F (2)-12P			
4048951	3R -12P			
4048952	4F -12P			
4048953	4R -12P			
4048954	Sense --13P			
4048955	Anti sense--13P			
4048956	new ailF  -14P			
4048957	new ailR  -14P			
4048958	YPS2R  -14P			
4048959	virF/lcrF forward  -14P			
4048960	virF/lcrF reverse  -14P			
4048961	yadA forward  -14P			
4048962	yadA reverse  -14P			
4048963	EXON 1 F-15P			
4048964	EXON 1 R-15P			
4048965	EXON 2 F-15P			
4048966	EXON 2 R -15P			
4048967	EXON 3 F-15P			
4048968	EXON 3 R-15P			
4048969	EXON 4 F-15P			
4048970	EXON 4 R -15P			
4048971	EXON 5 F-15P			
4048972	EXON 5 R-15P			
4048973	EXON 6 F -15P			
4048974	EXON 6 R -15P			
4048975	EXON 7 F -15P			
4048976	EXON 7  R-15P			
4048977	EXON 8a  F-15P			
4048978	EXON 8a  R-15P			
4048979	EXON 8b F -15P			
4048980	EXON 8b R -15P			
4048981	Tn-01-F -16P			
4048982	Tn-01-R -16P			
4048983	FD-RCH X1F			wobble
4048984	FD-RCH X1R			
4048986	FD-RCH X2F			wobble
4048987	FD-RCH X2R			wobble
4048989	FD-RCH EF			
4048990	FD-RCH ER			
4048992	SacI-R -1			
4048993	1f -2			
4048994	1r -2			
4048995	2f -2			
4048996	2r -2			
4048997	prtF1 -3			
4048998	prtR1 -3			
4048999	Imp-F -4			wobble
4049000	Imp-R -4			wobble
4049001	Vim-F -4			
4049002	Vim-R -4			
4049003	Gim-F -4			
4049004	Gim-R -4			
4049005	Spm-F -4			
4049006	Spm-R -4			
4049007	Sim-F -4			
4049008	Sim-R -4			
4049009	KPC-F -4			
4049010	KPC-R -4			
4049011	Spm-F -4			
4049012	Spm-R -4			
4049013	8F -4			
4049014	1492R -4			
4049015	IMP-F -5			wobble
4049016	IMP-R -5			wobble
4049017	VIM-F -5			
4049018	VIM-R -5			
4049019	OXA-48-F -5			
4049020	OXA-48-R -5			
4049021	NDM-F -5			
4049022	NDM-R -5			
4049023	KPC-F -5			
4049024	KPC-R -5			
4049025	1F: -6			
4049026	1R:  -6			
4049027	3F: -6			
4049028	3R: -6			No FLP
4049029	6F: -6			
4049030	6R -6			
4049031	7F: -6			
4049032	7R -6			
4049033	9F: -6			
4049034	9R -6			
4049035	10F: -6			
4049036	10R -6			
4049037	15F: -6			
4049038	15R -6			
4049039	17F: -6			
4049040	17R -6			
4049041	C(-106)  p1  -7			
4049042	C(-106) P2  -7			
4049043	G(-894) p1 -7			
4049044	G(-894) P2  -7			
4049045	Exon 17- F -8			
4049046	Exon 17- R -8			
4049047	Exon 18- F -8			
4049048	Exon 18- R -8			
4049049	IL-10-1082  -9			
4049050	IL-10 allele A -9			
4049051	IL-10 allele G -9			
4049052	IFN-?+874 -9			
4049053	allele T -9			
4049054	for allele A -9			
4049055	r IL-18 -607C/A F -9			
4049056	r IL-18 -607C/A R  -9			
4049057	IL-18-137G/C F -9			
4049058	IL-18-137G/C R -9			
4049059	F -9			
4049060	R -9			
4049061	F -9			
4049062	R -9			
4049063	blaIMP-1  sense -10			
4049064	blaIMP-1 Anti sense -10			
